Sr.,Stock Name,Symbol,% Chg,Price,Volume
126,Jayaswal Neco Industries Limited,JAYNECOIND,-0.010700000000000001,59.35,36484833
79,Jm Financial Limited,JMFINANCIL,0.08869999999999999,177.07,18249259
39,HBL Engineering Ltd,HBLENGINE,0.0415,720.7,3083858
70,Star Cement Ltd,STARCEMENT,0.0213,296.8,1760873
74,Le Travenues Technology Ltd,IXIGO,0.015300000000000001,256.0,1447368
102,Nippon India Silver ETF,SILVERBEES,0.0105,110.41,1328002
119,Nippon India ETF Gold Bees,GOLDBEES,0.0007000000000000001,83.04,1133115
51,Tilaknagar Industries Limited,TI,0.030899999999999997,508.9,1086618
103,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,0.0003,109.94,1044385
65,Hubtown Limited,HUBTOWN,-0.0311,338.0,1040524
57,Krbl Limited,KRBL,0.026000000000000002,462.5,1010538
10,Nazara Technologies Ltd,NAZARA,0.0055000000000000005,1428.5,949781
68,Sunflag Iron And Steel Company Limited,SUNFLAG,0.054000000000000006,312.45,626466
127,Ginni Filaments Limited,GINNIFILA,0.049800000000000004,54.97,542716
82,Cupid Limited,CUPID,0.011899999999999999,167.38,539978
44,Vimta Labs Limited,VIMTALABS,0.061500000000000006,645.95,517813
121,Nippon India ETF PSU Bank Bees,PSUBNKBEES,0.0037,78.76,488961
61,Zuari Agro Chemicals Limited,ZUARI,0.0103,378.5,365700
113,ICICI Prudential Gold ETF,GOLDIETF,0.0021,85.83,339003
76,City Union Bank Limited,CUB,0.0229,213.45,324366
19,Gabriel India Limited,GABRIEL,0.0213,1088.3,305408
62,Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK,-0.0753,370.8,285686
63,Rallis India Limited,RALLIS,-0.0074,368.0,250537
71,Spml Infra Limited,SPMLINFRA,0.0066,289.25,240564
58,Nuvoco Vistas Corporation Ltd,NUVOCO,0.0075,454.0,220704
115,SBI Gold ETS,SETFGOLD,0.0009,85.58,219556
40,Yatharth Hospital & Trauma Care Services Ltd,YATHARTH,0.005699999999999999,714.0,194702
32,India Shelter Finance Corporation Ltd,INDIASHLTR,0.0253,946.4,189290
75,India Pesticides Ltd,IPL,-0.0051,217.99,187836
7,Shaily Engineering Plastics Ltd,SHAILY,0.039,1826.6,182528
11,Thyrocare Technologies Limited,THYROCARE,0.0213,1379.2,180525
114,HDFC Gold ETF,HDFCGOLD,0.0007000000000000001,85.67,157402
134,Udaipur Cement Works Ltd,UDAICEMENT,0.0011,35.05,155469
94,ICICI Prudential Silver ETF,SILVERIETF,0.009399999999999999,114.89,153010
90,Fedbank Financial Services Ltd,FEDFINA,0.0044,130.6,136282
15,CreditAccess Grameen Ltd,CREDITACC,0.0001,1302.0,133170
129,Oricon Enterprises Limited,ORICONENT,0.017,54.42,124188
135,Manaksia Aluminium Company Limited,MANAKALUCO,0.0533,32.03,118379
80,Bliss Gvs Pharma Limited,BLISSGVS,0.008199999999999999,176.2,117478
21,Datamatics Global Services Limited,DATAMATICS,0.015700000000000002,1075.0,116270
101,HDFC Silver ETF,HDFCSILVER,0.0106,110.65,113254
105,Tamilnadu Petroproducts Limited,TNPETRO,0.05,104.44,105222
53,J.G.Chemicals Ltd,JGCHEM,-0.004699999999999999,494.7,97170
99,UTI Silver ETF,SILVERETF,0.0098,111.58,92129
59,Nippon India ETF Hang Seng Bees,HNGSNGBEES,0.0182,442.94,86725
31,Shyam Metalics & Energy Ltd,SHYAMMETL,0.0165,964.95,85850
13,Zota Health Care Ltd,ZOTA,0.0040999999999999995,1338.0,84697
38,Choice International Ltd,CHOICEIN,-0.0038,786.15,82330
4,Cartrade Tech Ltd,CARTRADE,-0.026099999999999998,2275.8,82158
125,Mirae Asset S&P 500 Top 50 ETF,MASPTOP50,0.0027,64.15,75138
93,Aditya Birla Sun Life Silver ETF,SILVER,0.0089,115.0,74855
48,Sumitomo Chemical India Ltd,SUMICHEM,-0.0106,588.2,73407
45,Nava Ltd,NAVA,-0.0092,616.5,71212
116,UTI - Gold Exchange Traded Fund,GOLDSHARE,0.0012,84.2,66419
64,Mangalore Chemicals & Fertilizers Limited,MANGCHEFER,0.017,350.8,65154
56,Sirca Paints India Ltd,SIRCA,0.0023,463.5,65107
34,Aditya Birla Sun Life AMC Ltd,ABSLAMC,0.020499999999999997,867.1,59250
1,Anand Rathi Wealth Ltd,ANANDRATHI,0.0097,2782.4,56187
47,Borosil Renewables Ltd,BORORENEW,0.011399999999999999,593.95,48587
91,Megasoft Limited,MEGASOFT,0.0066,121.3,47952
46,InfoBeans Technologies Ltd,INFOBEAN,0.0383,603.9,45373
12,Nesco Limited,NESCO,0.0040999999999999995,1378.2,43846
14,Acutaas Chemicals Ltd,ACUTAAS,0.0019,1306.5,39677
22,AGI Infra Ltd,AGIIL,-0.0003,1070.1,38757
132,Prozone Realty Ltd,PROZONER,-0.0012,42.5,37044
117,Kotak Gold ETF,GOLD1,0.0019,83.73,36317
26,Insecticides (india) Limited,INSECTICID,0.021400000000000002,1044.3,33844
52,Aadhar Housing Finance Ltd,AADHARHFC,0.0003,506.35,33605
5,Affle India Ltd,AFFLE,0.0051,1990.0,32183
111,Vertoz Ltd,VERTOZ,0.0202,88.38,31779
43,Healthcare Global Enterprises Limited,HCG,-0.0021,669.95,31291
87,Commercial Syn Bags Ltd,COMSYN,-0.0149,135.09,30964
25,Deccan Cements Limited,DECCANCE,-0.0068000000000000005,1053.3,30832
104,Khaitan Chemicals & Fertilizers Ltd,KHAICHEM,-0.0033,108.63,30800
81,Nelcast Limited,NELCAST,0.0052,167.8,30035
96,SBI Silver ETF,SBISILVER,0.0105,113.1,29367
107,Mirae Asset Gold ETF,GOLDETF,0.0017000000000000001,97.62,28104
50,Krishana Phoschem Ltd,KRISHANA,-0.009000000000000001,524.8,24929
54,Allied Blenders & Distillers Ltd,ABDL,-0.0009,493.35,21797
118,Axis Gold ETF,AXISGOLD,0.001,83.62,21349
18,Shankara Building Products,SHANKARA,0.008,1090.0,20555
84,Mahindra EPC Irrigation Ltd,MAHEPC,0.0003,151.48,20526
130,Indo Rama Synthetics (india) Limited,INDORAMA,0.008100000000000001,51.3,20033
17,Anupam Rasayan India Ltd,ANURAS,0.0096,1148.7,19691
123,ICICI Prudential Nifty PSU Bank ETF,PSUBNKIETF,0.0008,71.3,19485
89,Menon Bearings Limited,MENONBE,-0.0181,130.61,16480
133,Centrum Capital Ltd,CENTRUM,0.003,37.4,16427
83,Mirae Asset NYSE FANG+ ETF,MAFANG,-0.0042,157.93,16043
97,Mirae Asset Silver ETF,SILVRETF,0.009899999999999999,112.33,14177
73,Indo Borax & Chemicals Ltd,INDOBORAX,-0.0197,266.0,13232
112,Aditya Birla Sun Life Gold ETF,BSLGOLDETF,0.0,88.14,13202
67,Flair Writing Industries Ltd,FLAIR,-0.0068000000000000005,320.05,10768
37,Mold-tek Packaging Limited,MOLDTKPAC,-0.0070999999999999995,802.0,10318
3,Privi Speciality Chemicals Ltd,PRIVISCL,0.0009,2431.8,10086
6,Hind Rectifiers Limited,HIRECT,-0.0046,1898.7,9892
55,SRM Contractors Ltd,SRM,-0.0074,474.0,9288
78,Aarvee Denims & Exports Limited,AARVEEDEN,0.0072,179.3,9149
110,Bafna Pharmaceuticals Ltd,BAFNAPH,0.042300000000000004,94.27,9080
20,DSP S&P BSE Liquid Rate ETF,LIQUIDADD,0.0001,1085.82,8719
9,Sudarshan Chemical Industries Limited,SUDARSCHEM,0.002,1441.1,8656
86,Omax Autos Limited,OMAXAUTO,0.0034000000000000002,145.97,7407
85,ICICI Prudential Healthcare ETF,HEALTHIETF,0.0111,148.87,7331
128,Silgo Retail Ltd,SILGO,-0.009899999999999999,54.89,7018
29,DSP BlackRock Liquid ETF,LIQUIDETF,0.0,1000.01,6716
36,India Nippon Electricals Limited,INDNIPPON,0.0070999999999999995,812.95,5112
108,DSP Gold ETF,GOLDETFADD,0.0027,97.6,5105
95,Axis Silver ETF,AXISILVER,0.011399999999999999,114.71,4497
131,Motilal Oswal S&P BSE Healthcare ETF,MOHEALTH,0.0104,44.78,4176
98,Kotak Silver ETF,SILVER1,0.0105,111.79,4173
120,Quantum Gold Fund ETF,QGOLDHALF,0.0025,83.0,3689
100,DSP Silver ETF,SILVERADD,0.0106,111.0,2891
24,Kotak Nifty 1D Rate Liquid ETF,LIQUID1,0.0002,1063.64,2815
77,Lords Chloro Alkali Ltd,LORDSCHLO,0.0012,200.0,2675
42,Ram Ratna Wires Ltd,RAMRAT,0.0038,688.55,2387
69,Capital Small Finance Bank Ltd,CAPITALSFB,0.006,300.0,2348
2,Centum Electronics Limited,CENTUM,0.0040999999999999995,2485.7,2014
92,Edelweiss Silver ETF,ESILVER,0.009300000000000001,115.35,1864
41,Kotak Nifty PSU Bank ETF,PSUBANK,0.0005,705.07,1747
